,Index,Org ID,Name,Website,Country,Description,Founded,Industry,Num of employees
138,4396,,Duke Inc,https://www.parker.org/,Belgium,Programmable well-modulated emulation,2009,Transportation,
139,4442,,Sanford Group,https://www.stein-sutton.com/,Togo,Total tertiary framework,1974,Sports,
140,4458,,Huang-Zhang,https://cox-herman.org/,Saint Pierre and Miquelon,Optional systemic core,1970,Library,
141,4459,,Barajas-Beck,http://www.krause.com/,Samoa,Decentralized local policy,1971,Warehousing,
142,4508,,Ritter-Banks,http://rhodes.com/,Togo,Monitored non-volatile service-desk,1984,Gambling / Casinos,
143,4532,,Hamilton Inc,http://alvarez.org/,Pakistan,Enterprise-wide client-server access,2005,Management Consulting,
144,4538,,Cantu and Sons,https://www.vincent-wang.info/,Spain,Quality-focused discrete support,1991,Computer / Network Security,
145,4541,,Ross PLC,https://www.stevens-melton.biz/,Lebanon,Public-key cohesive workforce,1996,Computer / Network Security,
146,4584,,Dillon-Shaw,https://www.gutierrez-wallace.biz/,Estonia,Extended non-volatile standardization,1978,Civic / Social Organization,
147,4635,,Gillespie-Lucas,http://www.hampton.net/,Uganda,Synergized responsive Graphic Interface,2005,Wine / Spirits,
148,4650,,Medina and Sons,http://hays.com/,Bolivia,Down-sized discrete projection,2001,Automotive,
149,4672,,Foley LLC,http://chen.com/,Iran,Managed asymmetric protocol,2016,Restaurants,
150,4706,,Snyder LLC,https://matthews.org/,Botswana,Visionary human-resource instruction set,1999,Consumer Services,
151,4710,,Macdonald-Hopkins,https://www.mcdonald-merritt.com/,Mayotte,Cloned system-worthy Internet solution,1996,Packaging / Containers,
152,4716,,Whitney Ltd,http://www.kidd.com/,Cyprus,Persistent well-modulated project,1996,Railroad Manufacture,
153,4734,,Haas Inc,https://www.duarte.com/,Luxembourg,Function-based non-volatile projection,1971,Gambling / Casinos,
154,4751,,Floyd-Flores,https://www.rogers.com/,Belgium,Total needs-based core,1994,Transportation,
155,4762,,Serrano and Sons,http://www.byrd-bautista.com/,Brazil,Networked mobile array,1983,Defense / Space,
156,4799,,Weaver-Hebert,https://www.fleming-leach.info/,Dominica,Enhanced object-oriented model,1983,Transportation,
157,4839,,Paul-Kim,http://www.little.com/,Benin,Re-engineered analyzing portal,2021,Tobacco,
158,4849,,Hutchinson LLC,https://www.shea-barajas.com/,Greenland,Persevering leadingedge open system,1989,International Affairs,
159,4889,,Blevins-Anthony,https://www.hansen-wilcox.com/,Djibouti,Multi-lateral executive matrices,1999,Telecommunications,
160,4942,,Mcneil Group,https://cantu.net/,Guinea-Bissau,Synergized composite encoding,1992,International Trade / Development,
161,4954,,Monroe Inc,http://garza.biz/,Turks and Caicos Islands,Mandatory clear-thinking benchmark,1983,Semiconductors,
162,5036,,Burch Inc,https://www.villanueva.com/,Georgia,Networked intangible knowledgebase,2014,Animation,
163,5076,,Rangel-Ortiz,http://www.wallace.net/,Bhutan,Automated directional infrastructure,2005,Wholesale,
164,5092,,Reynolds-Pineda,http://wade.info/,Armenia,Profit-focused methodical framework,1994,Leisure / Travel,
165,5136,,Morton-Lozano,http://stark-estrada.net/,Kazakhstan,Fundamental 6thgeneration contingency,2001,Primary / Secondary Education,
166,5140,,Fuller Ltd,http://www.zuniga.com/,Finland,De-engineered responsive model,1981,Supermarkets,
167,5155,,Gross LLC,https://www.garza.com/,Svalbard & Jan Mayen Islands,Persevering demand-driven instruction set,1998,Alternative Dispute Resolution,
168,5232,,Stephens-Avila,http://howell.org/,Angola,Persistent dedicated alliance,2019,Commercial Real Estate,
169,5245,,Stout-Mayer,http://www.floyd.net/,Papua New Guinea,Assimilated web-enabled help-desk,2020,Business Supplies / Equipment,
170,5374,,Dunn-Johnston,http://www.martin-sampson.com/,Lebanon,Enterprise-wide didactic contingency,1995,Real Estate / Mortgage,
171,5406,,Small Group,http://www.best.net/,Saint Vincent and the Grenadines,Virtual contextually-based knowledgebase,1981,Apparel / Fashion,
172,5437,,Choi-Lindsey,https://hebert.com/,Liechtenstein,User-centric optimal solution,1987,Health / Fitness,
173,5445,,Atkins PLC,https://www.castro.com/,Bosnia and Herzegovina,Decentralized 24/7 installation,1986,Alternative Dispute Resolution,
174,5461,,Buckley Group,http://www.simpson-burke.com/,Estonia,Right-sized client-server synergy,2002,Pharmaceuticals,
175,5470,,Juarez-Robertson,https://www.serrano.info/,Madagascar,Enterprise-wide leadingedge moratorium,2008,Photography,
176,5471,,Spears Ltd,https://www.landry.com/,Singapore,Customizable logistical benchmark,2006,Market Research,
177,5472,,Glover Inc,https://goodwin.com/,Kazakhstan,Progressive 5thgeneration function,1972,Gambling / Casinos,
178,5474,,Mack and Sons,http://www.olsen.com/,Liberia,Down-sized 3rdgeneration data-warehouse,1970,Executive Office,
179,5519,,Mathis Inc,http://www.barnett.biz/,Sudan,Devolved contextually-based support,1991,Motion Pictures / Film,
180,5540,,Reed LLC,http://hancock.com/,Brazil,Switchable encompassing adapter,2001,Railroad Manufacture,
181,5549,,Bray-Trevino,http://www.schwartz-meza.com/,Georgia,Balanced zero administration solution,1984,Insurance,
182,5588,,Donovan Inc,http://daniels-weeks.net/,Sri Lanka,Object-based clear-thinking array,1975,Computer Hardware,
183,5590,,Adkins-Miranda,https://www.hickman.com/,Norfolk Island,Customer-focused modular solution,1970,Computer Networking,
184,5613,,Lyons PLC,http://keith.net/,Cote d'Ivoire,Configurable local infrastructure,1983,Package / Freight Delivery,
185,5631,,Gilbert Inc,https://www.buckley.biz/,Mozambique,Function-based hybrid website,1977,Education Management,
186,5701,,Robbins Group,https://villarreal.org/,Chad,Right-sized heuristic archive,2012,Medical Practice,
187,5740,,Mccann-Mays,https://www.ayers-mcdowell.org/,American Samoa,Ameliorated foreground circuit,1979,Machinery,
188,5782,,Nguyen-Hampton,http://hanna-bernard.org/,Barbados,Advanced discrete knowledgebase,1986,Airlines / Aviation,
189,5797,,Little-Hill,http://leonard.biz/,Turkmenistan,Persistent client-driven conglomeration,2004,Architecture / Planning,
190,5834,,Mann LLC,http://www.quinn.org/,Rwanda,Optional stable hierarchy,1983,Sporting Goods,
191,5865,,Bowers-Walsh,https://arroyo.biz/,Niue,De-engineered dedicated alliance,1995,Shipbuilding,
192,5946,,Chang and Sons,http://www.yoder.info/,Guadeloupe,Up-sized scalable circuit,1977,Arts / Crafts,
193,5962,,Maynard-Mcclure,http://www.berger-simpson.com/,Seychelles,Innovative content-based open architecture,1971,Aviation / Aerospace,
194,5991,,Decker LLC,https://www.herman-craig.com/,Djibouti,Diverse static intranet,2018,Entertainment / Movie Production,
195,6011,,Dennis LLC,https://www.leach.net/,Western Sahara,Configurable bifurcated neural-net,2007,Import / Export,
196,6028,,Arellano LLC,http://www.fields.net/,Germany,Reactive global concept,2017,Museums / Institutions,
197,6081,,Townsend Ltd,https://www.mcintyre.com/,Kuwait,Integrated client-server open architecture,2002,Wine / Spirits,
198,6127,,Sims-Casey,http://willis-barnes.com/,Norfolk Island,Open-architected maximized interface,1973,Maritime,
199,6143,,Fischer Ltd,http://leon.com/,San Marino,Synergized motivating strategy,2012,Executive Office,
200,6147,,Copeland-Velasquez,https://www.anderson.com/,Brazil,Inverse regional focus group,2011,Individual / Family Services,
201,6176,,Huber-Weber,http://werner.com/,France,Future-proofed next generation paradigm,2008,Events Services,
202,6200,,Larsen-Oconnell,https://haas.biz/,Liechtenstein,Reverse-engineered multi-state access,1993,Telecommunications,
203,6229,,Mercer Inc,http://hartman-wu.com/,Saint Martin,Expanded radical info-mediaries,1995,Renewables / Environment,
204,6235,,Alexander Group,http://www.obrien-richardson.net/,Nepal,Synergistic uniform solution,2002,Graphic Design / Web Design,
205,6246,,Monroe-Collier,https://hampton.com/,Antigua and Barbuda,Reactive tertiary extranet,1995,Mechanical or Industrial Engineering,
206,6252,,Sanford-Webster,http://lamb.com/,Saint Barthelemy,Total regional strategy,2006,Investment Banking / Venture,
207,6263,,Wiley-Maynard,https://www.morgan.com/,Somalia,Enterprise-wide mission-critical artificial intelligence,1998,Tobacco,
208,6290,,Calhoun-Lin,https://www.hickman-mann.net/,Paraguay,Open-source fault-tolerant standardization,2001,Public Safety,
209,6303,,Burke-Sandoval,http://www.lynn.com/,Israel,Reverse-engineered bifurcated paradigm,1973,Industrial Automation,
210,6363,,James LLC,https://www.maxwell.com/,Cape Verde,Operative contextually-based workforce,1985,Consumer Electronics,
211,6365,,Grant LLC,http://mercado-collier.com/,France,Upgradable bi-directional application,1971,Pharmaceuticals,
212,6375,,Pruitt LLC,http://chapman.com/,Qatar,Multi-channeled methodical migration,2018,Investment Management / Hedge Fund / Private Equity,
213,6381,,Taylor-Rush,https://carter.com/,Montserrat,Open-architected web-enabled time-frame,1977,Architecture / Planning,
214,6433,,Lucero and Sons,https://www.blackwell-gardner.com/,Macedonia,Digitized secondary challenge,2016,Financial Services,
215,6454,,Flowers PLC,https://www.holt-goodwin.net/,Micronesia,Persistent stable matrix,2015,Construction,
216,6507,,Chavez Ltd,https://www.fuller.com/,Bouvet Island (Bouvetoya),Configurable zero-defect model,2021,Publishing Industry,
217,6522,,Keller-Hodges,http://www.knapp.net/,Nicaragua,Open-architected bifurcated matrices,1983,Sports,
218,6529,,Downs-Berger,http://www.gaines.net/,Comoros,Seamless even-keeled policy,2008,Nanotechnology,
219,6557,,Davila PLC,https://blanchard-bernard.com/,Suriname,Synergistic 3rdgeneration utilization,1990,Business Supplies / Equipment,
220,6585,,Salinas PLC,https://mccoy.org/,Mongolia,Automated eco-centric leverage,1987,Industrial Automation,
221,6611,,Carson-Soto,https://frey.biz/,Lebanon,Exclusive system-worthy protocol,1999,Publishing Industry,
222,6635,,Moss-Gilbert,http://gray-dawson.net/,Burkina Faso,Open-architected incremental instruction set,2005,E - Learning,
223,6664,,Rasmussen Group,http://www.bennett-ayala.com/,Tonga,Mandatory web-enabled installation,2008,Law Practice / Law Firms,
224,6738,,Cain and Sons,http://www.jimenez.com/,Liechtenstein,Innovative eco-centric conglomeration,1981,Business Supplies / Equipment,
225,6856,,Reynolds Inc,https://camacho.com/,Saint Barthelemy,Robust encompassing flexibility,1994,Ranching,
226,6880,,Valencia LLC,https://orr-carr.info/,Iran,Re-contextualized bifurcated Local Area Network,1988,Dairy,
227,6933,,Willis-Dorsey,http://barajas-decker.com/,Cuba,Digitized zero-defect orchestration,1984,Food / Beverages,
228,6942,,Proctor-Carter,https://www.burgess-dalton.info/,Guadeloupe,Seamless fault-tolerant orchestration,1983,Leisure / Travel,
229,6964,,Morales Group,http://buckley-raymond.org/,Honduras,Switchable hybrid monitoring,1972,Fundraising,
230,7047,,Cowan PLC,http://www.hanson.net/,Oman,Ergonomic dynamic Local Area Network,1989,Think Tanks,
231,7139,,Preston-Pearson,http://www.dyer.com/,Western Sahara,Enterprise-wide foreground pricing structure,2008,Fundraising,
232,7173,,Rasmussen Ltd,http://hart.com/,Mali,Business-focused systematic ability,1974,Biotechnology / Greentech,
233,7215,,Oneill PLC,http://www.blake.info/,Aruba,Stand-alone executive success,1973,Individual / Family Services,
234,7220,,Boone and Sons,http://www.christian-lozano.com/,Tajikistan,Pre-emptive 3rdgeneration knowledge user,2019,Food Production,
235,7323,,Wolfe-Blankenship,http://www.sherman.org/,United States of America,Streamlined heuristic throughput,2019,Law Enforcement,
236,7332,,Brennan Group,https://www.lamb-calhoun.biz/,Swaziland,Self-enabling zero tolerance policy,1979,Food / Beverages,
237,7347,,Moyer Ltd,http://mooney-hodge.biz/,French Guiana,Persistent asymmetric standardization,1988,Public Relations / PR,
238,7367,,Chandler-Franco,http://www.estes-garrett.biz/,Nauru,Enhanced client-driven interface,1973,Human Resources / HR,
239,7449,,Hayes-Atkinson,http://drake.biz/,Jersey,Grass-roots mobile installation,1970,Law Enforcement,
240,7473,,Frank Group,http://harris-barton.net/,Saint Vincent and the Grenadines,Extended mission-critical firmware,2015,Government Administration,
241,7500,,Lowe-Hanna,https://gillespie.net/,Niger,Programmable maximized encoding,1988,Animation,
242,7620,,Bradley PLC,http://www.harris-murray.net/,Cyprus,Stand-alone scalable success,2016,Internet,
243,7693,,Ramos Ltd,http://parker.com/,Sierra Leone,Mandatory multimedia database,1974,Warehousing,
